,category,count,percentage
8,category_all_style,4,0.5121638924455826
7,category_all_travel,11,1.4084507042253522
6,category_all_beauty,6,0.7682458386683738
5,category_all_gastronomy,11,1.4084507042253522
4,category_all_politics,1,0.12804097311139565
3,category_all_family,3,0.3841229193341869
2,category_all_sports,3,0.3841229193341869
1,category_all_other,7,0.8962868117797695
