,category,count,percentage
8,category_all_style,166,21.254801536491676
7,category_all_travel,158,20.23047375160051
6,category_all_beauty,135,17.285531370038413
5,category_all_gastronomy,132,16.901408450704224
4,category_all_politics,83,10.627400768245838
3,category_all_family,96,12.291933418693981
2,category_all_sports,57,7.298335467349553
1,category_all_other,190,24.327784891165173
