,Answer.category_most_index,count,percentage
0,arts,72,9.498680738786279
1,beauty,64,8.443271767810026
2,family,47,6.200527704485488
3,gastronomy,61,8.047493403693931
4,health,44,5.804749340369393
5,other,215,28.36411609498681
6,politics,40,5.277044854881266
7,sports,24,3.16622691292876
8,style,71,9.366754617414248
9,travel,120,15.8311345646438
