,WorkerId,mean,median,num_assignments,non_promoting,other_no_text,did_not_complete
91,A2UVJMJV1EOH9X,365.1666666666667,439.5,66,45.45454545454546,0.0,0.0
90,A2640WUUMUMYCQ,713.1923076923077,775.5,26,23.076923076923066,0.0,0.0
89,A2O2Q0LVWOWJ1G,29.178571428571427,17.0,28,46.42857142857143,0.0,0.0
88,A1PZZCC760U92H,88.71428571428571,62.5,14,50.0,0.0,0.0
87,A2115OWJ0CKOB3,77.05555555555556,71.0,18,33.33333333333334,0.0,0.0
86,A1GES4QQHD8W5S,32.82608695652174,26.0,23,21.73913043478261,0.0,0.0
85,A1OIBI3PWS4R5K,49.80555555555556,40.0,36,38.888888888888886,0.0,2.7777777777777777
84,A35506802CMX5T,39.285714285714285,31.0,7,28.57142857142857,0.0,0.0
83,A104V8NZIQFN2F,98.0,76.0,3,33.33333333333334,0.0,0.0
82,A2G5GGLXD2KSZS,28.08,19.0,25,56.0,0.0,0.0
81,AJPQEZBVJXVE9,41.46153846153846,26.0,39,35.8974358974359,0.0,0.0
80,A13CLN8L5HFT46,44.035714285714285,36.5,28,42.85714285714286,0.0,0.0
79,A3GE7CHWBLELVD,63.0,64.0,9,33.33333333333334,0.0,0.0
78,A15RNM75ICEC05,29.545454545454547,13.0,11,27.272727272727266,27.272727272727273,0.0
77,AK92XFC67MMSB,25.533333333333335,22.0,15,86.66666666666667,0.0,0.0
76,A1EBMHRTGK1MKA,488.9,395.5,40,15.0,0.0,0.0
75,A21A44O7I88825,31.428571428571427,19.0,14,92.85714285714286,0.0,0.0
74,A377TAR5S3BU74,140.75438596491227,25.5,114,33.33333333333334,0.0,0.0
73,AVNW96ITB1X0W,198.8909090909091,156.0,55,74.54545454545455,0.0,1.8181818181818181
72,A1ET2J1PIP0RGO,81.33333333333333,69.0,9,55.55555555555556,0.0,0.0
71,A23WEAVGAOC5XZ,66.2,56.0,5,0.0,0.0,0.0
70,A3OJ11M92DQBSJ,383.2631578947368,317.5,38,15.789473684210535,0.0,0.0
69,A249IGDW8Z6D7I,51.15384615384615,48.0,13,53.84615384615385,0.0,0.0
68,A1XXI7APKCOIP3,59.0,60.0,9,22.222222222222214,0.0,0.0
67,A75NFL7PFMSC4,16.0,11.0,52,98.07692307692308,0.0,0.0
66,AFU00NU09CFXE,308.1111111111111,322.0,9,55.55555555555556,0.0,0.0
65,A3TDA1NWHNQFE3,46.2,51.0,5,40.0,0.0,0.0
64,A22QD6M0A2C77C,162.64,161.0,50,22.0,0.0,0.0
63,A5T9IFDZ3W4T6,68.0,70.0,13,46.15384615384615,0.0,0.0
62,AAI32CU3ZUGGV,45.0,36.0,5,0.0,0.0,0.0
61,A2235F2T52E49T,13.0,12.0,11,27.272727272727266,0.0,0.0
60,AUI3R928P63B0,60.84782608695652,55.5,46,23.91304347826086,0.0,0.0
59,A3GNQDFPZALU92,66.4,37.0,10,60.0,0.0,0.0
58,A1FGZAWMKG5W0O,76.66666666666667,56.0,3,33.33333333333334,0.0,0.0
57,A17F6LB4PVB0Z6,188.0,188.0,1,0.0,0.0,0.0
56,A2CSENNI43N272,34.857142857142854,39.0,7,28.57142857142857,0.0,0.0
55,A1WS884SI0SLO4,28.233333333333334,24.0,60,26.66666666666667,0.0,0.0
54,A98E8M4QLI9RS,98.5,98.5,2,50.0,0.0,0.0
53,A3PABOW1OQ9MX1,23.88,18.0,25,48.0,0.0,0.0
52,A26MN6JIKD4NXU,42.411764705882355,28.0,34,11.764705882352942,0.0,0.0
51,AR8O1107OAW4V,181.1875,206.5,16,50.0,0.0,0.0
50,A2QHONSJA8BAL7,76.33333333333333,75.0,24,41.666666666666664,0.0,0.0
49,A3V8LIMUUJWUTL,57.5625,29.5,16,0.0,0.0,0.0
48,A295A84E7LY9EU,30.6,29.0,15,60.0,0.0,6.666666666666667
47,AQ3KPKZ6UIYPF,78.44444444444444,49.0,18,27.777777777777786,0.0,0.0
46,A3EL0EEIRKNWZW,48.77777777777778,46.0,36,38.888888888888886,0.0,25.0
45,A1C8FN01981A69,27.76923076923077,24.0,13,38.46153846153846,0.0,0.0
44,AMA18W8F60Y2J,543.8518518518518,627.0,27,18.51851851851852,0.0,0.0
43,A2LYW6MLZN3CU8,58.029411764705884,46.5,34,91.17647058823529,0.0,0.0
42,A38NFX88VZDMJ3,57.86666666666667,52.0,15,26.66666666666667,0.0,0.0
41,A19DY2RQN6EJAC,107.0,107.0,2,0.0,0.0,0.0
40,AZIAQJWXTSFUX,115.5,115.5,2,50.0,0.0,50.0
39,A3DJJQP3ATMFKP,118.33333333333333,118.5,6,16.666666666666657,0.0,0.0
38,A24S237CJHQ693,334.6,170.0,5,60.0,0.0,0.0
37,AFMF3YZXSYMVG,105.0,105.0,2,0.0,0.0,0.0
36,A3O8YXPG1HGUH0,108.25,103.5,4,0.0,0.0,0.0
35,A22VACRM9GC73M,166.83333333333334,118.0,6,33.33333333333334,0.0,0.0
34,A1TO8F0HIM1OBQ,77.5,51.5,4,0.0,0.0,0.0
33,AXUCC7S7VZX31,80.33333333333333,63.0,3,33.33333333333334,0.0,0.0
32,A2GA29WTMFW2W,69.88888888888889,43.0,9,66.66666666666667,0.0,0.0
31,AUMY3AA0I92SR,31.4,9.0,5,80.0,0.0,0.0
30,A3KE7OXK8J5QAD,682.4444444444445,697.0,9,0.0,0.0,0.0
29,A2GJ0Y9OQ0VEWT,48.0,47.0,3,66.66666666666667,0.0,0.0
28,A2F9V69F6TZIAB,78.5,78.5,2,50.0,0.0,0.0
27,AXHDHGJRFHMRR,106.83333333333333,89.0,6,33.33333333333334,0.0,0.0
26,A28TQLI359OMRC,35.8,29.0,5,0.0,0.0,0.0
25,A3KQEFX15OV461,27.0,27.0,1,0.0,0.0,0.0
24,A3EHMJDQX9RS3A,15.8,12.0,5,80.0,0.0,0.0
23,A1BZNPQ0H7ZSER,49.5,49.5,2,0.0,0.0,0.0
22,A18PL52ZYU22K8,101.5,101.5,2,50.0,0.0,50.0
21,ATUCGR0S3K69G,177.5,177.5,2,0.0,0.0,0.0
20,AL5YST63LLYWK,151.0,151.0,1,0.0,0.0,0.0
19,A2OX1A4C2SGIO1,129.16666666666666,109.0,6,0.0,0.0,0.0
18,A55C0RFK86HUL,85.0,85.0,1,0.0,0.0,0.0
17,A1LZWU72K42V92,70.0,70.0,1,0.0,0.0,0.0
16,A2ESBX4C2Q6TQY,12.166666666666666,13.0,6,33.33333333333334,0.0,0.0
15,AR6HOX7WLR8OZ,101.66666666666667,95.0,3,33.33333333333334,0.0,0.0
14,APJJ1HHD2GGFS,91.5,88.0,4,25.0,25.0,0.0
13,A2L7S6RZOZ6NM9,41.0,41.0,1,0.0,0.0,0.0
12,AHGM882UX7S4T,68.25,50.5,4,0.0,0.0,0.0
11,AYZMS40HWME8C,247.0,247.0,1,0.0,0.0,0.0
10,A1T4HQ3SBQIS5A,23.0,23.0,1,0.0,0.0,0.0
9,AZ8SVQEP4NSJ3,79.0,79.0,1,0.0,0.0,0.0
8,A376F1W1MTY3J,23.5,23.5,2,50.0,0.0,0.0
7,A2TBXASXZIRNNW,59.0,59.0,1,0.0,0.0,0.0
6,A3OHRFXPEKQMIE,102.0,102.0,1,0.0,0.0,0.0
5,A6E9MF642WUOE,49.5,49.5,2,50.0,0.0,0.0
4,A2I3Y0L38HMQLZ,176.0,176.0,1,0.0,0.0,0.0
3,ABQKQQ8BD24BF,155.0,155.0,1,0.0,0.0,0.0
2,A17DXR1QC8GWL8,43.0,43.0,1,0.0,0.0,0.0
1,A24N3MXA2ILHA2,37.0,37.0,1,0.0,0.0,0.0
