,category,count,percentage
8,category_all_style,256,28.57142857142857
7,category_all_travel,200,22.321428571428573
6,category_all_beauty,199,22.209821428571427
5,category_all_gastronomy,166,18.526785714285715
4,category_all_politics,117,13.058035714285715
3,category_all_family,134,14.955357142857142
2,category_all_sports,116,12.946428571428573
1,category_all_other,286,31.919642857142854
