,category,count,percentage
8,category_all_style,46,5.133928571428571
7,category_all_travel,36,4.017857142857143
6,category_all_beauty,34,3.7946428571428568
5,category_all_gastronomy,30,3.3482142857142856
4,category_all_politics,9,1.0044642857142858
3,category_all_family,12,1.3392857142857142
2,category_all_sports,6,0.6696428571428571
1,category_all_other,49,5.46875
