,category,count,percentage
8,category_all_style,5,0.5580357142857143
7,category_all_travel,7,0.78125
6,category_all_beauty,4,0.4464285714285714
5,category_all_gastronomy,4,0.4464285714285714
4,category_all_politics,1,0.11160714285714285
3,category_all_family,1,0.11160714285714285
2,category_all_sports,1,0.11160714285714285
1,category_all_other,0,0
