,category,count,percentage
8,category_all_style,158,20.51948051948052
7,category_all_travel,121,15.714285714285714
6,category_all_beauty,116,15.064935064935064
5,category_all_gastronomy,61,7.922077922077922
4,category_all_politics,31,4.025974025974026
3,category_all_family,60,7.792207792207792
2,category_all_sports,26,3.3766233766233764
1,category_all_other,162,21.038961038961038
