,category,count,percentage
8,category_all_style,34,4.415584415584416
7,category_all_travel,30,3.896103896103896
6,category_all_beauty,25,3.2467532467532463
5,category_all_gastronomy,12,1.5584415584415585
4,category_all_politics,4,0.5194805194805194
3,category_all_family,9,1.1688311688311688
2,category_all_sports,6,0.7792207792207793
1,category_all_other,28,3.6363636363636362
