,category,count,percentage
8,category_all_style,10,1.2987012987012987
7,category_all_travel,8,1.0389610389610389
6,category_all_beauty,4,0.5194805194805194
5,category_all_gastronomy,5,0.6493506493506493
4,category_all_politics,1,0.12987012987012986
3,category_all_family,2,0.2597402597402597
2,category_all_sports,1,0.12987012987012986
1,category_all_other,2,0.2597402597402597
