,Answer.category_most_index,count,percentage
0,arts,103,13.715046604527299
1,beauty,59,7.8561917443408795
2,family,38,5.0599201065246335
3,gastronomy,43,5.725699067909454
4,health,51,6.790945406125166
5,other,243,32.35685752330226
6,politics,23,3.062583222370173
7,sports,13,1.7310252996005324
8,style,99,13.182423435419441
9,travel,79,10.51930758988016
