,Answer.category_most_index,count,percentage
0,arts,22,12.222222222222221
1,beauty,15,8.333333333333332
2,family,8,4.444444444444445
3,gastronomy,12,6.666666666666667
4,health,12,6.666666666666667
5,other,62,34.44444444444444
6,politics,3,1.6666666666666667
7,sports,5,2.7777777777777777
8,style,20,11.11111111111111
9,travel,21,11.666666666666666
