,category,count,percentage
8,category_all_style,35,18.51851851851852
7,category_all_travel,34,17.989417989417987
6,category_all_beauty,21,11.11111111111111
5,category_all_gastronomy,22,11.64021164021164
4,category_all_politics,16,8.465608465608465
3,category_all_family,25,13.227513227513226
2,category_all_sports,13,6.878306878306878
1,category_all_other,58,30.687830687830687
