,category,count,percentage
8,category_all_style,8,4.232804232804233
7,category_all_travel,8,4.232804232804233
6,category_all_beauty,4,2.1164021164021163
5,category_all_gastronomy,6,3.1746031746031744
4,category_all_politics,3,1.5873015873015872
3,category_all_family,3,1.5873015873015872
2,category_all_sports,4,2.1164021164021163
1,category_all_other,15,7.936507936507936
