,category,count,percentage
8,category_all_style,2,1.0582010582010581
7,category_all_travel,2,1.0582010582010581
6,category_all_beauty,1,0.5291005291005291
5,category_all_gastronomy,1,0.5291005291005291
4,category_all_politics,0,0
3,category_all_family,1,0.5291005291005291
2,category_all_sports,0,0
1,category_all_other,0,0
