,Answer.category_most_index,count,percentage
0,beauty,1,1.8867924528301887
1,family,6,11.320754716981133
2,gastronomy,4,7.547169811320755
3,other,25,47.16981132075472
4,politics,2,3.7735849056603774
5,sports,3,5.660377358490567
6,style,3,5.660377358490567
7,travel,9,16.9811320754717
