,Answer.category_most_index,count,percentage
0,arts,16,5.947955390334572
1,beauty,20,7.434944237918216
2,family,20,7.434944237918216
3,gastronomy,26,9.66542750929368
4,health,12,4.4609665427509295
5,other,103,38.28996282527881
6,politics,4,1.486988847583643
7,sports,4,1.486988847583643
8,style,26,9.66542750929368
9,travel,38,14.12639405204461
