,category,count,percentage
8,category_all_style,37,3.4007352941176467
7,category_all_travel,45,4.136029411764706
6,category_all_beauty,37,3.4007352941176467
5,category_all_gastronomy,32,2.941176470588235
4,category_all_politics,3,0.2757352941176471
3,category_all_family,36,3.308823529411765
2,category_all_sports,3,0.2757352941176471
1,category_all_other,50,4.595588235294118
