,WorkerId,mean,median,num_assignments,non_promoting,other_no_text,did_not_complete
66,A2P76QVLSGJR45,20.855263157894736,17.0,228,17.10526315789474,0.0,0.0
65,A1DCKRRPA4AWVD,86.53846153846153,61.0,13,23.076923076923066,0.0,0.0
64,A38DC3BG1ZCVZ2,100.51470588235294,33.0,136,16.911764705882348,0.0,0.0
63,A1I9ZBV75AVWUS,196.6217616580311,167.0,193,46.63212435233161,0.0,0.0
62,A3FP6K4YPM1TDK,23.46938775510204,17.0,49,22.448979591836732,0.0,0.0
61,A1HA15VCWUJ6BI,640.3333333333334,667.0,15,20.0,0.0,0.0
60,A3GUJ6JD25FX7O,35.516666666666666,29.0,60,40.0,0.0,0.0
59,A377TAR5S3BU74,14.932735426008968,14.0,223,35.87443946188341,0.0,0.0
58,A1A6WVWKUO1XX,44.608695652173914,38.0,23,43.47826086956522,0.0,0.0
57,A3FPR0T5XPD08,22.929411764705883,21.0,85,38.8235294117647,0.0,0.0
56,AHGM882UX7S4T,114.8,102.0,10,10.0,0.0,0.0
55,A2439BKIPTF3QK,149.42857142857142,130.0,7,14.285714285714292,0.0,0.0
54,A2XYH9ATPS54W0,307.14285714285717,273.5,14,64.28571428571428,0.0,0.0
53,A2IK4Y33UY7YFK,47.470588235294116,19.0,34,50.0,0.0,29.41176470588235
52,A1E1DVPDQOOBCH,27.964285714285715,22.5,28,32.14285714285714,0.0,0.0
51,A49A0FF6ZXYDU,57.1,43.0,10,50.0,0.0,0.0
50,A4RT8SPRCRYVN,46.25,40.0,4,50.0,0.0,0.0
49,A1S7O6TI4HDJXF,25.307692307692307,23.0,13,30.769230769230774,0.0,0.0
48,ACF9HM54U3WZC,74.0,74.0,2,0.0,0.0,0.0
47,A1WGEJVGY3DI13,23.576923076923077,21.0,52,46.15384615384615,0.0,0.0
46,ANURLPQ0CHHGU,48.0,30.0,18,44.44444444444444,0.0,0.0
45,AS41UD2XEZITL,91.0,83.5,4,75.0,0.0,0.0
44,AQ3KPKZ6UIYPF,26.75,24.5,16,25.0,0.0,0.0
43,A1BAEFJ2OG7NJ0,136.0483870967742,118.0,62,17.74193548387096,0.0,82.25806451612904
42,A2R8OFKJ5REXOW,23.5,24.0,4,75.0,0.0,0.0
41,A1QUOTZEN3BNVF,13.833333333333334,8.5,6,50.0,0.0,0.0
40,A3PJXTE22NL72H,77.47619047619048,82.0,21,23.80952380952381,0.0,0.0
39,A110SC5K5Y3IHS,64.34615384615384,44.5,26,15.384615384615387,0.0,0.0
38,AQOYZ1NB7R5UY,23.548387096774192,17.0,31,35.483870967741936,0.0,0.0
37,A9HVFM0YUY00Q,25.454545454545453,26.0,11,45.45454545454546,0.0,0.0
36,A1YXQDZYCKILTT,33.833333333333336,30.0,12,58.33333333333333,0.0,0.0
35,A2MWYYKPY2JZ8B,97.35714285714286,76.0,28,28.57142857142857,0.0,0.0
34,A1M3DMY02HV96P,69.4090909090909,59.5,22,22.727272727272734,0.0,0.0
33,A2J0W73DZ7I4RR,43.55263157894737,39.5,76,56.57894736842105,0.0,0.0
32,AENJ7GDYBENYX,133.5,133.5,2,50.0,0.0,0.0
31,A566S0J4H23DI,121.2,97.5,10,30.0,0.0,0.0
30,A3KNHT45R16NM8,114.5,114.5,2,0.0,0.0,0.0
29,ASA8VDVY04TF0,147.25,145.5,12,33.33333333333334,0.0,0.0
28,A1WS884SI0SLO4,87.10526315789474,53.0,19,42.10526315789473,0.0,0.0
27,AJAPJJTISC36L,16.0,7.0,5,20.0,0.0,0.0
26,A3EUFDOUX1GCL,32.666666666666664,27.5,6,16.666666666666657,0.0,0.0
25,A1RP6UDL9FIKG8,38.0,38.0,1,0.0,0.0,0.0
24,A2QHONSJA8BAL7,74.0,70.0,4,75.0,0.0,0.0
23,APEL59XES65M6,72.0,81.0,5,40.0,0.0,0.0
22,ATV6ICKU8U99L,74.33333333333333,33.0,3,0.0,0.0,0.0
21,A2XHD64QUKA5Z6,62.0,62.0,1,0.0,0.0,0.0
20,A18O3DEA5Z4MJD,95.2,42.0,5,20.0,0.0,0.0
19,A2EELTS09HUTSF,68.33333333333333,69.0,3,66.66666666666667,0.0,0.0
18,A3BBDCU69807T2,34.0,34.0,2,0.0,0.0,0.0
17,A1QDQU3TJHQYAU,34.0,34.0,1,0.0,0.0,0.0
16,ARM2CBQGJCQ5Z,51.0,51.0,1,0.0,0.0,0.0
15,A2T3D68DRTSOTJ,119.5,119.5,2,50.0,0.0,0.0
14,A15XX0WDRG29E7,215.33333333333334,222.0,3,66.66666666666667,0.0,0.0
13,AF82BCZ2TDPH6,139.0,139.0,1,0.0,0.0,0.0
12,AMDPJ713Z3IJL,83.66666666666667,77.0,3,66.66666666666667,0.0,0.0
11,A1OSRAPSRT934Z,46.0,46.0,1,0.0,0.0,0.0
10,A1ET2J1PIP0RGO,179.0,179.0,1,0.0,0.0,0.0
9,A1VU3BUWOX46QI,201.0,201.0,1,0.0,0.0,0.0
8,A337LEVU0G81QU,95.0,95.0,1,0.0,0.0,0.0
7,A26FC0H9JNICC7,256.0,256.0,1,0.0,0.0,0.0
6,AXMPSUNKUBEIL,34.0,34.0,1,0.0,0.0,0.0
5,A10VMEX3R3EML1,44.0,44.0,1,0.0,0.0,0.0
4,A2KISOEXKF5OTJ,86.0,86.0,1,0.0,0.0,0.0
3,AL9CIZU7U65GJ,19.0,19.0,1,0.0,0.0,0.0
2,A3PZFH5OCGESG3,97.0,97.0,1,0.0,0.0,0.0
1,AUB4G0UAESKNQ,70.0,70.0,1,0.0,0.0,0.0
